,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
223,St. James Town,43.6514939,-79.3754179,Downtown Camera,43.653107,-79.37512,Camera Store
224,St. James Town,43.6514939,-79.3754179,St. Lawrence Market (South Building),43.64874320223593,-79.37159697627527,Farmers Market
225,St. James Town,43.6514939,-79.3754179,Café Plenty,43.6491179354577,-79.37831288380438,Café
226,St. James Town,43.6514939,-79.3754179,Fresh On Front,43.64781466405137,-79.3744527618627,Vegetarian / Vegan Restaurant
227,St. James Town,43.6514939,-79.3754179,Sunset Grill,43.65166162378037,-79.3790751303271,Breakfast Spot
228,St. James Town,43.6514939,-79.3754179,HomeSense,43.6530533,-79.3794496,Furniture / Home Store
229,St. James Town,43.6514939,-79.3754179,Sud Forno,43.65093965733832,-79.37904545824371,Bakery
230,St. James Town,43.6514939,-79.3754179,D.W. Alexander,43.64833304339161,-79.3738261420116,Cocktail Bar
231,St. James Town,43.6514939,-79.3754179,Bombay Palace,43.65117354457489,-79.37213984452025,Indian Restaurant
232,St. James Town,43.6514939,-79.3754179,The Works Gourmet Burger Bistro,43.648742,-79.374142,Restaurant
233,St. James Town,43.6514939,-79.3754179,C'est What,43.64842583928427,-79.37343925237656,Beer Bar
234,St. James Town,43.6514939,-79.3754179,Dog Fountain,43.64799795147863,-79.37536096948996,Fountain
235,St. James Town,43.6514939,-79.3754179,Hudson's Bay,43.652039815876805,-79.38039146122816,Department Store
236,St. James Town,43.6514939,-79.3754179,Imagine Cinemas Market Square,43.64964574271603,-79.37244562498488,Movie Theater
237,St. James Town,43.6514939,-79.3754179,Mos Mos Coffee,43.64815919753501,-79.37874450467258,Café
